City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aasiaat,68.7098,-52.8699,1.19,97,100,2.04,GL,1695928462
1,wailua homesteads,22.0669,-159.378,27.24,74,75,4.63,US,1695928496
2,avarua,-21.2078,-159.775,25.03,78,40,10.29,CK,1695928437
3,opuwo,-18.0607,13.84,22.98,40,0,3.87,NA,1695928855
4,papatowai,-46.5619,169.4708,8.9,75,62,7.52,NZ,1695928438
5,klaksvik,62.2266,-6.589,10.51,93,100,7.68,FO,1695928856
6,blackmans bay,-43.0167,147.3167,13.07,75,100,5.12,AU,1695928437
7,waitangi,-43.9535,-176.5597,8.79,96,100,3.13,NZ,1695928438
8,port lincoln,-34.7333,135.8667,15.32,49,0,2.97,AU,1695928467
9,weyburn,49.6668,-103.8511,19.12,30,0,6.17,CA,1695928857
10,danjiangkou,32.5428,111.5086,18.8,92,100,0.7,CN,1695928857
11,st. john's,47.5649,-52.7093,13.42,75,75,6.71,CA,1695928537
12,fada,9.5667,8.3,20.37,95,100,1.53,NG,1695928858
13,saipan,15.1355,145.701,26.39,94,0,3.6,MP,1695928492
14,port-aux-francais,-49.35,70.2167,2.08,74,15,15.56,TF,1695928390
15,longyearbyen,78.2186,15.6401,-0.09,74,75,11.83,SJ,1695928462
16,adamstown,-25.066,-130.1015,20.76,75,99,7.36,PN,1695928441
17,kapuskasing,49.4169,-82.4331,21.05,32,0,3.6,CA,1695928548
18,yellowknife,62.456,-114.3525,7.45,100,100,3.09,CA,1695928439
19,ust-nera,64.5667,143.2,2.44,98,99,3.47,RU,1695928447
20,rudnichnyy,59.617,52.4703,10.52,94,100,4.7,RU,1695928859
21,maxixe,-23.8597,35.3472,22.9,94,40,1.54,MZ,1695928488
22,grytviken,-54.2811,-36.5092,1.48,99,100,3.44,GS,1695928459
23,puerto ayora,-0.7393,-90.3518,28.98,95,72,3.58,EC,1695928440
24,stanley,54.868,-1.6985,13.36,84,20,3.6,GB,1695928401
25,tura,25.5198,90.2201,24.94,92,91,1.69,IN,1695928435
26,jolo,6.05,121.0167,25.85,82,100,1.13,PH,1695928861
27,thompson,55.7435,-97.8558,19.09,72,100,3.09,CA,1695928439
28,hisor,38.525,68.5512,15.86,36,93,1.83,TJ,1695928861
29,slave lake,55.2834,-114.769,11.99,71,100,3.09,CA,1695928861
30,waingapu,-9.6567,120.2641,23.75,81,99,1.96,ID,1695928862
31,albany,42.6001,-73.9662,22.24,50,6,1.34,US,1695928298
32,college,64.8569,-147.8028,2.26,83,20,2.57,US,1695928455
33,ust'-barguzin,53.45,108.9833,7.14,93,79,1.12,RU,1695928862
34,sao joao da barra,-21.6403,-41.0511,24.05,79,100,12.64,BR,1695928488
35,lospalos,-8.5186,127.0025,19.2,91,11,1.63,TL,1695928863
36,colonia,50.9333,6.95,20.54,82,0,2.06,DE,1695928342
