City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bintulu,3.1667,113.0333,25.23,94,40,2.24,MY,1696026243
1,kangding,30.0513,101.9603,12.0,93,77,1.15,CN,1696026244
2,bethel,41.3712,-73.414,13.93,90,100,3.6,US,1696025551
3,puerto natales,-51.7236,-72.4875,7.79,74,100,1.08,CL,1696025767
4,villa gesell,-37.2639,-56.973,10.59,70,74,7.58,AR,1696025875
5,taro,-8.3862,115.28,21.03,89,80,0.37,ID,1696026244
6,port elizabeth,-33.918,25.5701,16.72,78,0,2.06,ZA,1696025806
7,lawas,13.764,121.0566,26.05,88,67,2.38,PH,1696026245
8,ushuaia,-54.8,-68.3,9.81,50,0,3.6,AR,1696025747
9,stanley,54.868,-1.6985,10.99,89,0,3.09,GB,1696025813
10,olonkinbyen,70.9221,-8.7187,2.58,82,100,6.52,SJ,1696025492
11,inari,68.906,27.0288,10.11,96,96,1.63,FI,1696026246
12,hasaki,35.7333,140.8333,25.16,76,29,5.84,JP,1696025860
13,stettler,52.3168,-112.7186,8.86,87,99,3.6,CA,1696026246
14,iqaluit,63.7506,-68.5145,1.85,87,100,6.17,CA,1696025759
15,utrik,11.2278,169.8474,28.81,77,92,7.12,MH,1696025772
16,vernon,50.2581,-119.2691,15.34,64,100,0.51,CA,1696025951
17,arraial do cabo,-22.9661,-42.0278,20.92,83,75,5.14,BR,1696025761
18,bredasdorp,-34.5322,20.0403,13.73,88,79,4.45,ZA,1696025762
19,punta arenas,-53.15,-70.9167,9.06,57,0,3.6,CL,1696025695
20,invercargill,-46.4,168.35,7.23,77,75,7.15,NZ,1696025752
21,trairi,-3.2778,-39.2689,25.25,78,63,5.13,BR,1696026184
22,albany,42.6001,-73.9662,15.36,91,100,0.45,US,1696025719
23,sao gabriel da cachoeira,-0.1303,-67.0892,31.35,57,89,1.18,BR,1696026248
24,kantunilkin,21.0917,-87.45,30.02,67,96,1.3,MX,1696026248
25,nadi,-17.8,177.4167,26.0,57,20,6.17,FJ,1696026249
26,betio village,1.358,172.9211,30.02,69,100,3.2,KI,1696026249
27,quatre cocos,-20.2078,57.7625,23.06,82,26,4.15,MU,1696026249
28,adamstown,-25.066,-130.1015,20.62,82,25,10.37,PN,1696025742
29,hamilton,39.1834,-84.5333,26.16,65,0,0.45,US,1696025660
30,slyudyanka,51.6594,103.7061,5.9,81,35,2.51,RU,1696026249
31,fort mcmurray,56.7268,-111.381,9.77,71,100,4.63,CA,1696025729
32,vadso,70.0744,29.7487,9.49,93,0,4.12,NO,1696025743
33,grytviken,-54.2811,-36.5092,-1.69,84,18,4.27,GS,1696025762
34,alice springs,-23.7,133.8833,14.75,36,40,2.06,AU,1696025582
35,carnarvon,-24.8667,113.6333,18.56,76,2,10.21,AU,1696025820
36,pemba,-12.974,40.5178,25.39,94,40,2.06,MZ,1696026251
37,port-aux-francais,-49.35,70.2167,1.01,71,10,19.19,TF,1696025762
38,ratnapura,6.6828,80.3992,23.68,95,99,0.47,LK,1696026251
39,port lincoln,-34.7333,135.8667,20.74,30,0,7.72,AU,1696025776
40,edinburgh of the seven seas,-37.0676,-12.3116,10.39,86,100,15.8,SH,1696025754
41,lebu,-37.6167,-73.65,12.62,79,0,5.59,CL,1696025506
42,portland,45.5234,-122.6762,17.33,78,100,3.6,US,1696025790
43,san patricio,28.017,-97.5169,35.1,49,23,6.63,US,1696025764
44,blackmans bay,-43.0167,147.3167,11.96,74,94,1.93,AU,1696025765
45,bilibino,68.0546,166.4372,-5.22,94,100,2.72,RU,1696025750
46,vilyuchinsk,52.9306,158.4028,4.15,58,100,0.65,RU,1696025800
47,la passe,45.5549,-0.8967,20.13,91,100,1.98,FR,1696025845
48,east london,-33.0153,27.9116,21.81,59,100,3.06,ZA,1696025743
49,waitangi,-43.9535,-176.5597,11.01,85,100,3.58,NZ,1696025753
50,aasiaat,68.7098,-52.8699,-0.75,90,97,1.74,GL,1696025784
51,nordenham,53.5,8.4833,13.45,97,0,4.7,DE,1696026253
52,sitka,57.0531,-135.33,10.94,76,75,0.0,US,1696025837
53,porto torres,40.835,8.3972,18.1,85,0,0.58,IT,1696026254
54,kalemie,-5.9475,29.1947,23.8,68,96,1.3,CD,1696026254
55,susuman,62.7833,148.1667,-3.86,80,75,1.88,RU,1696025755
56,mahina,-17.5065,-149.489,27.87,65,20,4.12,PF,1696025768
57,yellowknife,62.456,-114.3525,8.01,68,75,2.57,CA,1696025765
58,tiksi,71.6872,128.8694,-1.78,87,100,6.26,RU,1696025741
59,kodiak,57.79,-152.4072,10.73,82,40,2.06,US,1696025811
60,tarawa,1.419,172.984,30.05,70,75,2.06,KI,1696026255
61,avarua,-21.2078,-159.775,26.03,83,75,6.17,CK,1696025784
62,st. john's,47.5649,-52.7093,11.82,82,75,1.03,CA,1696025558
63,saint-benoit,-21.038,55.7194,23.04,75,23,3.32,RE,1696026255
64,afaahiti,-17.75,-149.2833,26.93,85,31,8.36,PF,1696025843
65,cassilandia,-19.1133,-51.7342,32.24,33,85,2.1,BR,1696026256
66,college,64.8569,-147.8028,5.81,55,75,0.45,US,1696025763
67,udachny,66.4167,112.4,1.92,93,100,4.38,RU,1696025792
68,manturovo,58.3353,44.7619,9.48,95,92,1.58,RU,1696026256
69,wailua homesteads,22.0669,-159.378,29.24,72,40,5.14,US,1696025780
70,whitehorse,60.7161,-135.0538,8.43,86,75,3.58,CA,1696025797
71,uturoa,-16.7333,-151.4333,25.66,78,76,8.4,PF,1696025754
72,sao vicente,-23.9631,-46.3919,21.26,85,94,3.94,BR,1696026022
73,haiku-pauwela,20.9219,-156.3051,31.01,51,20,9.26,US,1696025771
74,fale old settlement,-9.3852,-171.2468,28.39,74,31,5.85,TK,1696025828
75,lihue,21.9789,-159.3672,29.58,72,40,5.14,US,1696025783
76,changde,29.0464,111.6783,21.3,75,93,1.8,CN,1696026258
77,margaret river,-33.95,115.0667,14.48,78,49,7.58,AU,1696025778
78,inhambane,-23.865,35.3833,22.72,93,6,3.9,MZ,1696025842
79,nuuk,64.1835,-51.7216,2.34,93,75,5.66,GL,1696025568
80,basco,20.4487,121.9702,28.88,81,47,6.84,PH,1696026258
81,flekkefjord,58.2971,6.6607,14.97,89,37,6.77,NO,1696026259
82,jamestown,42.097,-79.2353,19.77,77,75,0.0,US,1696025745
